"Diam","Vol","Circ"
4.4,2,10.42
4.6,2.2,10.18
5,3,27.2
5.1,4.3,25.7
5.1,3,24.76
5.2,2.9,16.44
5.2,3.5,11.67
5.5,3.4,15.21
5.5,5,20.65
5.6,7.2,15.74
5.9,6.4,11.21
5.9,5.6,21.07
7.5,7.7,30.85
7.6,10.3,24.58
7.6,8,22.09
7.8,12.1,21.98
8,11.1,24.2
8.1,16.8,19.1
8.4,13.6,22.16
8.6,16.6,25.43
8.9,20.2,29.05
9.1,17,40.48
9.2,17.7,33.94
9.3,19.4,18.85
9.3,17.1,34.71
9.8,23.9,28.94
9.9,22,36.06
9.9,23.1,34.18
9.9,22.6,33.73
10.1,22,35.56
10.2,27,30.13
10.2,27,22.88
10.3,27.4,32.78
10.4,25.2,29.39
10.6,25.5,22.22
11,25.8,39.22
11.1,32.8,42.74
11.2,35.4,33.78
11.5,26,44.72
11.7,29,41.55
12,30.2,42.46
12.2,28.2,36.48
12.2,32.4,48.81
12.5,41.3,46.29
12.9,45.2,59
13,31.5,53.57
13.1,37.8,40.47
13.1,31.6,38.18
13.4,43.1,45.44
13.8,36.5,39.19
13.8,43.3,41.19
14.3,41.3,44.8
14.3,58.9,52.26
14.6,65.6,45.48
14.8,59.3,56.65
14.9,41.4,41.14
15.1,61.5,48.98
15.2,66.7,44.51
15.2,68.2,37.84
15.3,73.2,58.83
15.4,65.9,52.48
15.7,55.5,43.88
15.9,73.6,49.31
16,65.9,63.43
16.8,71.4,68.23
17.8,80.2,63.52
18.3,93.8,58.87
18.3,97.9,59.68
19.4,107,73.84
23.4,163.5,80.83
